"id"	"name"	"domain"	"basket"	"subbasket"	"targetFamily"	"chemStructure"	"comment"
"DCLA-000034"	"Trop2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000297"	"SLAMF6 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000292"	"SLAMF7 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000336"	"SLC34A2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000342"	"SLITRK6 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000337"	"SSTR2 MDC"	"antineoplastic"	"targeted chemo"	"ADC"		"miniaturized drug conjugate"	
"DCLA-000338"	"STEAP1 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000293"	"PSMA ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000340"	"VTCN1 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000341"	"GUCY2C radio conjugate"	"antineoplastic"	"targeted radio-labelling"	"ADC"		"radio-conjugate"	
"DCLA-000036"	"Alkylating agent"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000038"	"Anthracenedione"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000039"	"Anthracycline"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000098"	"Antimetabolite"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000124"	"Deoxycytidine analogue"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000139"	"Fluoropyrimidine"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000154"	"Human DNA synthesis inhibitor"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000158"	"Immunomodulatory drugs (IMiDs)"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000187"	"Platinum agent"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000193"	"Purine analogue"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000195"	"Pyrimidine analogue"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000211"	"Taxane"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000215"	"Topoisomerase inhibitor"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000216"	"Triazene"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000228"	"Vinca alkaloid"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000035"	"5 alpha-reductase  inhibitor"	"(anti)hormonal"					
"DCLA-000091"	"Antiandrogen"	"(anti)hormonal"					
"DCLA-000104"	"Aromatase inhibitor"	"(anti)hormonal"					
"DCLA-000131"	"Endocrine therapeutic"	"(anti)hormonal"					
"DCLA-000135"	"Estrogen receptor inhibitor"	"(anti)hormonal"					
"DCLA-000141"	"GnRH agonist"	"(anti)hormonal"					
"DCLA-000142"	"GnRH antagonist"	"(anti)hormonal"					
"DCLA-000171"	"Nonsteroidal antiandrogen"	"(anti)hormonal"					
"DCLA-000202"	"Selective estrogen receptor modulator"	"(anti)hormonal"					
"DCLA-000205"	"Somatostatin analog"	"(anti)hormonal"					
"DCLA-000208"	"Steroid synthesis inhibitor"	"(anti)hormonal"					
"DCLA-000041"	"C5 antibody"	"hematologic"				"antibody"	
"DCLA-000060"	"Factor IXa antibody"	"hematologic"				"antibody"	
"DCLA-000061"	"Factor Xa antibody"	"hematologic"				"antibody"	
"DCLA-000090"	"vWF medication"	"hematologic"					
"DCLA-000121"	"CXCR4 inhibitor"	"hematologic"					
"DCLA-000144"	"Granulocyte colony-stimulating factor"	"hematologic"					
"DCLA-000145"	"Granulocyte macrophage colony-stimulating  factor"	"hematologic"					
"DCLA-000149"	"Hematopoietic growth factor"	"hematologic"					
"DCLA-000168"	"Megakaryocyte growth factor"	"hematologic"					
"DCLA-000182"	"Phosphodiesterase inhibitor"	"hematologic"					
"DCLA-000056"	"diarrheal"	"supportive"					
"DCLA-000083"	"RANKL antibody"	"supportive"				"antibody"	
"DCLA-000094"	"Antifolate"	"supportive"					
"DCLA-000103"	"Appetite stimulant"	"supportive"					
"DCLA-000111"	"Bisphosphonate"	"supportive"					
"DCLA-000114"	"Cannabinoid"	"supportive"					
"DCLA-000129"	"Dopamine receptor antagonist"	"supportive"					
"DCLA-000130"	"Emesis prevention"	"supportive"					
"DCLA-000170"	"NK1 antagonist"	"supportive"					
"DCLA-000181"	"Phenothiazine"	"supportive"					
"DCLA-000203"	"Serotonin 5-HT3 antagonist"	"supportive"					
"DCLA-000207"	"Steroid"	"supportive"					
"DCLA-000217"	"Tryptophan hydroxylase inhibitor"	"supportive"					
"DCLA-000226"	"Uric acid lowering agent"	"supportive"					
"DCLA-000118"	"COX-1 inhibitor"	"NSAID"					
"DCLA-000119"	"COX-2 inhibitor"	"NSAID"					
"DCLA-000063"	"GPIIb-IIIa antibody"	"(anti)coagulant"				"antibody"	
"DCLA-000093"	"Anticoagulant"	"(anti)coagulant"					
"DCLA-000117"	"Coagulation factor"	"(anti)coagulant"					
"DCLA-000125"	"Direct oral anticoagulant"	"(anti)coagulant"					
"DCLA-000126"	"Direct thrombin inhibitor"	"(anti)coagulant"					
"DCLA-000136"	"Factor Xa inhibitor"	"(anti)coagulant"					
"DCLA-000143"	"GPIIb-IIIa inhibitor"	"(anti)coagulant"					
"DCLA-000150"	"Hemostasis medication"	"(anti)coagulant"					
"DCLA-000173"	"P2Y12 ADP inhibitor"	"(anti)coagulant"					
"DCLA-000225"	"Ultralow molecular weight heparin"	"(anti)coagulant"					
"DCLA-000230"	"Vitamin K antagonist"	"(anti)coagulant"					
"DCLA-000092"	"Antibacterial"	"antimicrobial"					
"DCLA-000095"	"Antifungal"	"antimicrobial"					
"DCLA-000102"	"Antiviral"	"antimicrobial"					
"DCLA-000140"	"Fluoroquinolone"	"antimicrobial"					
"DCLA-000177"	"PCP prophylaxis"	"antimicrobial"					
"DCLA-000180"	"Penicillin"	"antimicrobial"					
"DCLA-000229"	"Viral DNA synthesis inhibitor"	"antimicrobial"					
"DCLA-000096"	"Antihistamine"	"other"					
"DCLA-000097"	"Antileukotriene"	"other"					
"DCLA-000099"	"Antipsychotic"	"other"					
"DCLA-000100"	"Antipyretic"	"other"					
"DCLA-000110"	"Benzodiazepine"	"other"					
"DCLA-000116"	"Chemotherapy protective agent"	"other"					
"DCLA-000127"	"Diuretic"	"other"					
"DCLA-000178"	"PDE inhibitor"	"other"					
"DCLA-000231"	"Xanthine oxidase inhibitor"	"other"					
"DCLA-000368"	"IMPDH2 inhibitor"	"other"					
"DCLA-000269"	"EGFR/MET antibody"	"antineoplastic"	"tk"			"bispecific antibody"	
"DCLA-000270"	"ERBB3 ADC"	"antineoplastic"	"targeted chemo"			"antibody drug conjugate"	
"DCLA-000272"	"ERK inhibitor"	"antineoplastic"	"ras-raf-mek-erk"			"small molecule"	
"DCLA-000352"	"CLDN18.2 antibody mRNA"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody mRNA"	
"DCLA-000353"	"CLDN18.2/PD-L1 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"bispecific antibody"	
"DCLA-000354"	"CLDN18.2-binding radio conjugate"	"antineoplastic"	"targeted irradiation"			"radio-conjugate"	
"DCLA-000355"	"CLDN18.2 CAR-T"	"antineoplastic"	"immune response"			"CAR-T"	
"DCLA-000356"	"CLDN18.2/CD3 antibody"	"antineoplastic"	"immune response"			"bispecific antibody"	
"DCLA-000357"	"CLDN18.2/CD137 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"bispecific antibody"	
"DCLA-000358"	"gamma secretase inhibitor"	"antineoplastic"	"developmental pathway"			"small molecule"	
"DCLA-000360"	"Chemotherapy"	"antineoplastic"	"chemo"			"chemical"	
"DCLA-000362"	"FAK inhibitor"	"antineoplastic"	"other function"			"small molecule"	
"DCLA-000363"	"RAF1/MEK1 inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000364"	"FAP ADC"	"antineoplastic"	"targeted chemo"			"antibody drug conjugate"	
"DCLA-000366"	"GNAQ/GNA11 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"			"small molecule"	
"DCLA-000367"	"PKC inhibitor"	"antineoplastic"				"small molecule"	
"DCLA-000369"	"TYK2 inhibitor"	"antineoplastic"	"tk"			"small molecule"	
