"id"	"linked__id"	"status"	"name"	"synonyms"	"usage"	"symbols_drugTarget"	"id@ncit"	"def@ncit"	"codes_atc"
"DRUG-003909"		"curated"	"DHES0815A"	"ADC DHES0815A#Anti-HER2/PBD-MA ADC DHES0815A#Anti-HER2/PBD-Monoamide ADC DHES0815A#DHES-0815A#DHES0815A#Anti-HER2/PBD-MA Antibody-drug Conjugate DHES0815A"	"clinical"	"ERBB2"	"C155940"	"An antibody-drug conjugate (ADC) consisting of a monoclonal antibody targeting human epidermal growth factor receptor 2 (ERBB2; EGFR2; HER2) linked to a DNA minor groove crosslinking agent pyrrolo[2,1- c][1,4]benzodiazepine monoamide (PBD-MA), with potential antineoplastic activity. Upon intravenous administration of ADC DHES0815A, the monoclonal antibody moiety targets and binds to HER2 expressed on tumor cells. Following receptor internalization and lysosome-mediated cleavage, the cytotoxic PBD-MA moiety is released. In turn, the imine groups of the PBD-MA moiety bind to and crosslink specific sites of DNA, resulting in DNA strand breaks, cell cycle arrest, and cell death in HER2 expressing tumor cells. HER2, a tyrosine kinase receptor, is overexpressed by many cancer cell types."	
"DRUG-002650"		"curated"	"DMUC4064A"	"ADC DMUC4064A#DMUC-4064A#DMUC4064A#RG7882#THIOMAB-drug Conjugate DMUC4064A#Anti-MUC16/MMAE Antibody-Drug Conjugate DMUC4064A"	"clinical"	"MUC16"	"C147031"	"An antibody-drug conjugate (ADC) composed of a monoclonal antibody against human mucin 16 (MUC16; cancer antigen 125; CA125; FLJ14303) conjugated to monomethyl auristatin E (MMAE), an auristatin derivative and potent microtubule disrupting agent, with potential antineoplastic activity. Upon administration, anti-MUC16/MMAE ADC DMUC4064A binds to MUC16 located on the tumor cell surface. After internalization of the agent, the MMAE moiety is released and binds to tubulin and inhibits its polymerization, which results in G2/M phase arrest and apoptosis. MUC16, a member of the mucin family glycoproteins, is overexpressed in a variety of tumor cells and plays a key role in tumor cell proliferation."	
"DRUG-007722"		"curated"	"DS-6000a"	"Anti-CDH6 Antibody-drug Conjugate DS-6000a#Anti-CDH-6 ADC DS-6000a#Anti-CDH6 ADC DS-6000a#Anti-CDH6/DXd ADC DS-6000a#DS 6000a#DS-6000#DS-6000a#DS6000a"	"clinical"	"CDH6"	"C179214"	"An antibody-drug conjugate (ADC) composed of a humanized immunoglobulin G1 (IgG1) monoclonal antibody against the tumor-associated antigen (TAA) cadherin-6 (CDH6; CDH-6) conjugated, via an enzymatically cleavable tetrapeptide-based linker, to the cytotoxic DNA topoisomerase I inhibitor and exatecan (DX-8951) derivative DXd (MAAA-1181a; MAAA-1181), with potential antineoplastic activity. Upon administration of the anti-CDH6 ADC DS-6000a, the anti-CDH6 antibody targets and binds to CDH6-expressing tumor cells. Upon cellular uptake and lysosomal degradation of the linker, DXd targets and binds to DNA topoisomerase I, thereby stabilizing the cleavable complex between topoisomerase I and DNA, resulting in DNA breaks, inhibition of DNA replication and apoptosis. This inhibits the proliferation of CDH6-expressing tumor cells. CDH6, a member of the cadherin family and overexpressed by a variety of cancers, plays a key role in tumor cell proliferation."	
"DRUG-002044"		"curated"	"DTRMWXHS-12"	"DTRMWXHS 12#DTRMWXHS-12"	"clinical"	"BTK"	"C130001"	"An orally available inhibitor of Bruton's tyrosine kinase (BTK; Bruton agammaglobulinemia tyrosine kinase), with potential antineoplastic activity. Upon administration, DTRMWXHS-12 inhibits the activity of BTK and prevents the activation of the B-cell antigen receptor (BCR) signaling pathway. This prevents both B-cell activation and BTK-mediated activation of downstream survival pathways. This leads to an inhibition of the growth of malignant B-cells that overexpress BTK. BTK, a member of the src-related BTK/Tec family of cytoplasmic tyrosine kinases, is overexpressed in B-cell malignancies; it plays an important role in the development, activation, signaling, proliferation and survival of B-lymphocytes."	
"DRUG-036792"		"curated"	"DYP688"	"DYP 688#DYP-688#DYP688#GNAQ/GNA11 Antagonist DYP688"	"clinical"	"GNAQ#GNA11"	"C190696"	"An antagonist of guanine nucleotide-binding protein G(q) subunit alpha (GNAQ)/ guanine nucleotide-binding protein subunit alpha-11 (GNA11), with potential antineoplastic activity. Upon administration, GNAQ/GNA11 antagonist DYP688 inhibits the activity of GNAQ/GNA11 and prevents GNAQ/GNA11-mediated signaling. This may prevent proliferation in tumors overexpressing and/or harboring mutations of GNAQ/GNA11. GNAQ and GNA11 are involved in carcinogenesis and are mutated in certain melanomas."	
"DRUG-036287"	"DRUG-036792"	"replacedWith"	"DYP688"		"clinical"	"GNAQ#GNA11"			
"DRUG-000042"		"curated"	"Dabigatran"		"clinical"		"C73224"		"B01AE07"
"DRUG-000301"		"curated"	"Dabrafenib"	"BRAF Inhibitor GSK2118436#GSK-2118436#GSK-2118436A#GSK2118436"	"clinical"		"C82386"	"An orally bioavailable inhibitor of B-raf (BRAF) protein with potential antineoplastic activity. Dabrafenib selectively binds to and inhibits the activity of B-raf, which may inhibit the proliferation of tumor cells which contain a mutated BRAF gene. B-raf belongs to the raf/mil family of serine/threonine protein kinases and plays a role in regulating the MAP kinase/ERKs signaling pathway, which may be constitutively activated due to BRAF gene mutations."	"L01EC02"
"DRUG-000302"		"curated"	"Dacarbazine"	"Asercit#Biocarbazine#Dacarbazina#Dacarbazina Almirall#Dacarbazine - DTIC#Dacatic#Dakarbazin#Deticene#Detimedac#DIC#Dimethyl Triazeno Imidazol Carboxamide#Dimethyl Triazeno Imidazole Carboxamide#dimethyl-triazeno-imidazole carboxamide#Dimethyl-triazeno-imidazole-carboximide#DTIC#DTIC-Dome#Fauldetic#Imidazole carboxamide#Imidazole Carboxamide Dimethyltriazeno#WR-139007"	"clinical"		"C411"	"A triazene derivative with antineoplastic activity. Dacarbazine alkylates and cross-links DNA during all phases of the cell cycle, resulting in disruption of DNA function, cell cycle arrest, and apoptosis. (NCI04)"	
"DRUG-000303"		"curated"	"Dacomitinib"	"EGFR Inhibitor PF-00299804#PF-00299804#PF-00299804-03#PF-299804#Vizimpro"	"clinical"	"EGFR"	"C53398"	"A highly selective, orally bioavailable small-molecule inhibitor of the HER family of tyrosine kinases with potential antineoplastic activity. Dacomitinib specifically and irreversibly binds to and inhibits human Her-1, Her-2, and Her-4, resulting in the proliferation inhibition and apoptosis of tumor cells that overexpress these receptors."	"L01EB07"
"DRUG-000206"		"curated"	"Dactinomycin"	"Actinomycin A IV#Actinomycin C1#Actinomycin D#Actinomycin I1#Actinomycin IV#Actinomycin X 1#Cosmegen#DACT#Dactinomycine#Lyovac cosmegen#Meractinomycin"	"clinical"		"C412"	"A chromopeptide antineoplastic antibiotic isolated from the bacterium Streptomyces parvulus.  Dactinomycin intercalates between adjacent guanine-cytosine base pairs, blocking the transcription of DNA by RNA polymerase; it also causes single-strand DNA breaks, possibly via a free-radical intermediate or an interaction with topoisomerase II. (NCI04)"	"L01DA01"
"DRUG-012918"		"curated"	"Dalotuzumab"	"Anti-IGF-1R Recombinant Monoclonal Antibody MK-0646#anti-IGF1R recombinant monoclonal antibody MK-0646#MK-0646"	"clinical"	"IGF1R"	"C74011"	"A recombinant humanized monoclonal antibody directed against the insulin-like growth factor 1 receptor (IGF1R) with potential antineoplastic activity. Dalotuzumab binds to membrane-bound IGF1R, preventing binding of the ligand IGF1 and the subsequent triggering of the PI3K/Akt signaling pathway; inhibition of this survival signaling pathway may result in the inhibition of tumor cell proliferation and the induction of tumor cell apoptosis. The activation of IGF1R, a tyrosine kinase and a member of the insulin receptor family, stimulates cell proliferation, enables oncogenic transformation, and suppresses apoptosis; IGF1R signaling has been highly implicated in tumorigenesis and metastasis."	
"DRUG-000043"		"curated"	"Dalteparin"		"clinical"		"C1453"	"A low molecular weight, synthetic heparin. As an anticoagulant/antithrombotic agent, dalteparin binds to antithrombin and enhances the inhibition of Factor Xa. Compared to unfractionated heparins, the use of dalteparin is associated with lower incidences of osteoporosis and heparin-induced thrombocytopenia. (NCI04)"	"B01AB04"
"DRUG-005204"		"curated"	"Dalutrafusp Alfa"	"AGEN 1423#AGEN-1423#AGEN1423#Bispecific Antibody GS-1423#GS 1423#GS-1423#GS1423"	"clinical"	"NT5E#TGFB1#TGFB2#TGFB3"	"C167206"	"A bispecific antibody that simultaneously binds two different as of yet undisclosed antigens, with potential immunomodulating and antineoplastic activities. Upon administration, dalutrafusp alfa targets and binds the two antigens. This may modulate the tumor microenvironment (TME) and may enhance an immune-mediated antitumor response."	
"DRUG-000044"		"curated"	"Danazol"	"Bonzol#Chronogyn#Cyclomen#DAN#Danocrine#Danol#Danoval#Ladogal#Win 17757#Win-17757#Winobanin"	"clinical"		"C414"	"A synthetic androgen derived from ethinyl testosterone.  Danazol indirectly reduces estrogen production by decreasing pituitary secretion of follicle-stimulating hormone and luteinizing hormone, and binds to sex hormone receptors in target tissues, thereby exhibiting antiestrogenic, anabolic and weakly androgenic effects. (NCI04)"	"G03XA01"
"DRUG-006323"		"curated"	"Danburstotug"	"Anti-PD-L1 Monoclonal Antibody IMC-001#IMC 001#IMC-001#IMC001#STI 3031#STI3031"	"clinical"	"CD274"	"C172819"	"A human monoclonal antibody directed against the immunosuppressive ligand programmed cell death-1 ligand 1 (PD-L1; cluster of differentiation 274; CD274), with potential immune checkpoint inhibitory and antineoplastic activities. Upon administration, danburstotug specifically targets and binds to PD-L1, blocking its binding to and activation of its receptor programmed cell death 1 (PD-1; cluster of differentiation 279; CD279). This reverses T-cell inactivation caused by PD-1/PD-L1 signaling and enhances the cytotoxic T-lymphocyte (CTL)-mediated anti-tumor immune response against PD-L1-expressing tumor cells. In addition, anti-PD-L1 monoclonal antibody IMC-001 also induces antibody-dependent cell-mediated cytotoxicity (ADCC). PD-L1 is overexpressed by many human cancer cell types. PD-L1 binding to PD-1 on T-cells suppresses the immune system and results in immune evasion. PD-1, a transmembrane protein belonging to the immunoglobulin superfamily (IgSF) expressed on activated T-cells, is a negative regulator of the immune system that limits the expansion and survival of CD8-positive T-cells."	
"DRUG-000045"		"curated"	"Dapsone"	"1358F#Aczone#Avlosulfon#Croysulfone#DADPS#DDS#Diphenasone#Disulone#Dumitone#Eporal#Novophone#Sulfona-Mae#Sulphadione#Undolac"	"clinical"		"C415"	"A synthetic derivative of diamino-sulfone with anti-inflammatory and anti-bacterial properties. As a structural analog of p-aminobenzoic acid (PABA), dapsone inhibits dihydropteroate synthase (DHPS), an enzyme important in folate synthesis, resulting in a depletion of the folate pool and a reduction in the amount of thymidylate available for DNA synthesis. Although the exact mechanism through which dapsone exerts its anti-inflammatory activity has yet to be fully elucidated, this agent interferes with the activation and oxidative damage of myeloperoxidase in neutrophils and inhibits the integrin-mediated adherence and chemotaxis of neutrophils. Dapsone's anti-inflammatory activities may contribute to the effects seen upon topical administration."	"D10AX05#J04BA02"
"DRUG-000304"		"curated"	"Daratumumab"	"Anti-CD38 Monoclonal Antibody#Darzalex#HuMax-CD38#JNJ-54767414"	"clinical"	"CD38"	"C74007"	"A fully human monoclonal antibody directed against the cell surface glycoprotein CD-38 with potential antineoplastic activity. The binding of anti-CD38 monoclonal antibody to natural killer (NK) cells mimics the normal CD38-CD31 interaction on the NK cell surface. CD38 is also present on multiple myeloma (MM) cells and plasma leukemia cells; this agent may preferentially bind these cells, triggering antitumoral antibody-dependent cellular cytotoxicity (ADCC) and complement-dependent cytotoxicity (CDC). CD38, a cell surface glycoprotein, is present on various immune cells and has been shown to regulate the cytotoxic response of activated NK cells."	"L01FC01"
"DRUG-000305"		"curated"	"Darolutamide"	"Antiandrogen ODM-201#BAY 1841788#BAY-1841788#BAY1841788#Nubeqa#ODM 201#ODM-201"	"clinical"	"AR"	"C104748"	"A formulation containing an androgen receptor (AR) antagonist with potential antineoplastic activity. Darolutamide binds to ARs in target tissues; subsequently, inhibiting androgen-induced receptor activation and facilitating the formation of inactive complexes that cannot translocate to the nucleus. This prevents binding to and transcription of AR-responsive genes that regulate prostate cancer cell proliferation. This ultimately leads to an inhibition of growth in AR-expressing prostate cancer cells."	
"DRUG-001743"		"curated"	"Darovasertib"	"IDE 196#IDE-196#IDE196#LXS196#PKC Inhibitor IDE196#Protein Kinase C Inhibitor IDE196#Protein Kinase C Inhibitor LXS196"	"clinical"	"PRKCA#PRKCB#PRKCD#PRKCE#PRKCG#PRKCH#PRKCI#PRKCQ#PRKCSH#PRKCZ"	"C124796"	"An orally available protein kinase C (PKC) inhibitor with potential immunosuppressive and antineoplastic activities. Upon oral administration, darovasertib inds to and inhibits PKC, which prevents the activation of PKC-mediated signaling pathways. This may lead to the induction of cell cycle arrest and apoptosis in susceptible tumor cells. PKC, a serine/threonine protein kinase overexpressed in certain types of cancer cells, is involved in tumor cell differentiation, proliferation, invasion and survival."	
"DRUG-000306"		"curated"	"Dasatinib"	"BMS-354825#Dasatinib Hydrate#Dasatinib Monohydrate#Sprycel"	"clinical"	"KIT#CSK#EPHA2#PDGFRB"	"C38713"	"An orally bioavailable synthetic small molecule-inhibitor of SRC-family protein-tyrosine kinases.  Dasatinib binds to and inhibits the growth-promoting activities of these kinases. Apparently because of its less stringent binding affinity for the BCR-ABL kinase, dasatinib has been shown to overcome the resistance to imatinib of chronic myeloid leukemia (CML) cells harboring BCR-ABL kinase domain point mutations. SRC-family protein-tyrosine kinases interact with a variety of cell-surface receptors and participate in intracellular signal transduction pathways; tumorigenic forms can occur through altered regulation or expression of the endogenous protein and by way of virally-encoded kinase genes."	"L01EA02"
"DRUG-002912"		"curated"	"Datopotamab Deruxtecan"	"ADC DS-1062a#Anti-TROP2/DXd Antibody-drug Conjugate DS-1062a#DS-1062#DS-1062a"	"clinical"	"TACSTD2"	"C151967"	"An antibody-drug conjugate (ADC) composed of a humanized monoclonal antibody against tumor-associated antigen (TAA) trophoblast cell surface protein 2 (calcium signal transducer 2; TROP2; TROP-2; TACSTD2) conjugated, via an enzymatically cleavable tetrapeptide-based  linker, to the cytotoxic DNA topoisomerase I inhibitor and exatecan (DX-8951) derivative DXd (MAAA-1181a; MAAA-1181), with potential antineoplastic activity. Upon administration of the datopotamab deruxtecan, the anti-TROP2 antibody targets and binds to TROP2 expressed on tumor cells. Upon cellular uptake and lysosomal degradation of the linker, DXd targets and binds to DNA topoisomerase I, thereby stabilizing the cleavable complex between topoisomerase I and DNA, resulting in DNA breaks, inhibition of DNA replication and apoptosis. This inhibits tumor cell proliferation of TROP2-expressing tumor cells. TROP2 is a transmembrane protein overexpressed in various tumors while its expression is low and/or restricted in normal, healthy tissues. Its expression is associated with enhanced tumor aggressiveness, metastasis, drug resistance and increased tumor cell survival. The ADC allows for reduced systemic exposure and enhanced delivery of the cytotoxic agent DXd."	
"DRUG-000307"		"curated"	"Daunorubicin"	"Cerubidin#Cerubidine#Cloridrato de Daunorubicina#Daunoblastin#Daunoblastina#Daunoblastine#daunomycin#daunomycin hydrochloride#Daunorrubicina#Daunorubicin Citrate#daunorubicin hydrochloride#Daunorubicin.HCl#Daunorubicini Hydrochloridum#DNR#FI-6339#Leukaemomycin C#Ondena#RP-13057#Rubidomycin#Rubidomycin Hydrochloride#Rubilem#Rubomycin C"	"clinical"		"C62091"	"An anthracycline antineoplastic antibiotic with therapeutic effects similar to those of doxorubicin.  Daunorubicin exhibits cytotoxic activity through topoisomerase-mediated interaction with DNA, thereby inhibiting DNA replication and repair and RNA and protein synthesis."	"L01DB02"
"DRUG-000308"		"curated"	"Decitabine"	"5-Aza-2-deoxycytidine#5-Azadeoxycytidine#Dacogen#Decitabine for Injection#Deoxyazacytidine#Dezocitidine"	"clinical"		"C981"	"A cytidine antimetabolite analogue with potential antineoplastic activity. Decitabine incorporates into DNA and inhibits DNA methyltransferase, resulting in hypomethylation of DNA and intra-S-phase arrest of DNA replication. (NCI04)"	
"DRUG-015085"		"curated"	"Defactinib"		"clinical"	"PTK2"	"C79809"	"An orally bioavailable, small-molecule focal adhesion kinase (FAK) inhibitor with potential antiangiogenic and antineoplastic activities. Defactinib inhibits FAK, which may prevent the integrin-mediated activation of several downstream signal transduction pathways, including those involving RAS/MEK/ERK and PI3K/Akt, thus inhibiting tumor cell migration, proliferation, survival, and tumor angiogenesis. The tyrosine kinase FAK, a signal transducer for integrins, is normally activated by binding to integrins in the extracellular matrix (ECM) but may be upregulated and constitutively activated in various tumor cell types."	
"DRUG-001929"	"DRUG-015085"	"saltOf"	"Defactinib Hydrochloride"	"PF-04554878#VS-6063"	"clinical"		"C128039"	"The hydrochloride salt form of defactinib, an orally bioavailable, small-molecule focal adhesion kinase (FAK) inhibitor with potential antiangiogenic and antineoplastic activities. Defactinib inhibits FAK, which may prevent the integrin-mediated activation of several downstream signal transduction pathways, including those involving RAS/MEK/ERK and PI3K/Akt, thus inhibiting tumor cell migration, proliferation, survival, and tumor angiogenesis. The tyrosine kinase FAK, a signal transducer for integrins, is normally activated by binding to integrins in the extracellular matrix (ECM) but may be upregulated and constitutively activated in various tumor cell types."	
"DRUG-000046"		"curated"	"Defibrotide"	"Defibrinotide#DEFIBROTIDE FREE ACID#Defibrotide Sodium#Defitelio#Fraction P#Noravid#Prociclide"	"clinical"		"C155981"	"A mixture of single-stranded oligodeoxyribonucleotides derived from the intestinal mucosa of pigs, with anti-thrombotic, thrombolytic, and fibrinolytic activities. Upon administration, and although the exact mechanism of action has yet to be fully elucidated, defibrotide induces the release of prostaglandin I2 (PGI2), E2 (PGE2), and prostacyclin and reduces the expression of adhesion molecules on endothelial cells. This relaxes the smooth muscle of blood vessels and prevents platelets from adhering to each other and to the endothelium. This protects the endothelium lining bloods vessels. Defibrotide increases tissue plasminogen activator (t-PA) and decreases plasminogen activator inhibitor-1 activity. This increases the activity of plasmin, prevents blood clot formation and dissolves blood clots."	
"DRUG-000047"		"curated"	"Degarelix"	"Degarelix Acetate#FE200486#FE200486 Acetate Hydrate#Firmagon"	"clinical"	"GNRHR"	"C48385"	"A long-acting, synthetic peptide with gonadotrophin-releasing hormone (GnRH) antagonistic properties. Degarelix targets and blocks GnRH receptors located on the surfaces of gonadotroph cells in the anterior pituitary, thereby reducing secretion of luteinizing hormone (LH) by pituitary gonadotroph cells and so decreasing testosterone production by interstitial (Leydig) cells in the testes."	"L02BX02"
"DRUG-015168"		"curated"	"Demcizumab"	"Anti-Delta-like 4 Monoclonal Antibody OMP-21M18#Anti-DLL4 Monoclonal Antibody OMP-21M18#OMP-21M18"	"clinical"	"DLL4"	"C80041"	"A humanized monoclonal antibody directed against the N-terminal epitope of Notch ligand DLL4 (delta-like 4) with potential antineoplastic activity. Demcizumab binds to the membrane-binding portion of DLL4 and prevents its interaction with Notch-1 and Notch-4 receptors, thereby inhibiting Notch-mediated signaling and gene transcription, which may impede tumor angiogenesis. Activation of Notch receptors by DLL4 stimulates proteolytic cleavage of the Notch intracellular domain (NICD); after cleavage, NICD is translocated into the nucleus and mediates the transcriptional regulation of a variety of genes involved in vascular development. The expression of DLL4 is highly restricted to the vascular endothelium."	
"DRUG-000309"		"curated"	"Denosumab"	"AMG 162#AMG-162#Denosumab Biosimilar MW032#Denosumab Biosimilar QL1206#Denosumab Biosimilar TK-006#Prolia#TK-006#Xgeva"	"clinical"	"TNFSF11"	"C61313"	"A fully human monoclonal antibody directed against the receptor activator of nuclear factor kappa beta ligand (RANKL) with antiosteoclast activity. Denosumab specifically binds to RANKL and blocks the interaction of RANKL with RANK, a receptor located on osteoclast cell surfaces, resulting in inhibition of osteoclast activity, a decrease in bone resorption, and a potential increase in bone mineral density. RANKL, a protein expressed by osteoblastic cells, plays an important role in osteoclastic differentiation and activation."	"M05BX04"
"DRUG-000719"		"curated"	"Depatuxizumab Mafodotin"	"ABT-414"	"clinical"	"EGFR"	"C105612"	"An epidermal growth factor receptor (EGFR) inhibitor, with potential antineoplastic activity. Upon intravenous infusion, depatuxizumab mafodotin inhibits the activity of EGFR, thereby preventing EGFR-mediated signaling. This may inhibit tumor growth in EGFR-overexpressing tumor cells. EGFR, a receptor tyrosine kinase overexpressed in certain tumor cell types, plays a key role in tumor cell proliferation and tumor vascularization."	
"DRUG-000310"		"curated"	"Derazantinib"	"ARQ 087#ARQ-087"	"clinical"	"FGFR1#FGFR2#FGFR3#FGFR4"	"C104267"	"An orally bioavailable inhibitor of the fibroblast growth factor receptor (FGFR) with potential antineoplastic activity. Derazantinib binds to and potently inhibits the activity of FGFR subtypes 1, 2 and 3. This may result in the inhibition of FGFR-mediated signal transduction pathways, tumor cell proliferation, tumor angiogenesis and tumor cell death in FGFR-overexpressing tumor cells. FGFR, a receptor tyrosine kinase, is upregulated in many tumor cell types and plays a key role in tumor cellular proliferation, differentiation, angiogenesis and survival."	
"DRUG-000048"		"curated"	"Desmopressin"	"1-Deamino-8-D-arginine Vasopressin#Concentraid#DDAVP#Desmopressin Acetate#Octostim#Stimate"	"clinical"		"C61701"	"A synthetic octapeptide, and an analogue of human hormone arginine vasopressin with antidiuretic and coagulant activities. Desmopressin binds to V2 receptors in renal collecting ducts which leads to exocytosis of von Willebrand factor (VWF) and tissue plasminogen activator (t-PA) from Weibel-Palade bodies, thereby increasing water resorption. This agent also increases nitric oxide (NO) production via activation of endothelial NO synthase, thereby induces afferent arteriolar vasodilation. Furthermore, desmopressin stimulates the release of factor VIII from endothelial cells mediated through V1a receptor, thereby promotes blood coagulation."	"H01BA02"
"DRUG-006689"		"curated"	"Deucravacitinib"		"unknown"	"TYK2"	"C174730"		"L04AA56"
"DRUG-000049"		"curated"	"Dexamethasone"	"1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone#16Alpha-methyl-9alpha-fluoro-delta1-hydrocortisone#16Alpha-methyl-9alpha-fluoroprednisolone#9alpha-Fluoro-16alpha- methylprednisolone#9Alpha-fluoro-16alpha-methylprednisolone#Aacidexam#Adexone#Aknichthol Dexa#Alba-Dex#Alin#Alin Depot#Alin Oftalmico#Amplidermis#Anemul mono#Auricularum#Auxiloson#Baycadron#Baycuten#Baycuten N#Cortidexason#Cortisumman#Decacort#Decadrol#Decadron#Decadron DP#Decalix#Decameth#Decasone R.p.#Dectancyl#Dekacort#Deltafluorene#Deronil#Desamethasone#Desameton#Dexa-Mamallet#Dexa-Rhinosan#Dexa-Scheroson#Dexa-sine#Dexacortal#Dexacortin#Dexafarma#Dexafluorene#Dexalocal#Dexamecortin#Dexameth#Dexamethasone Intensol#Dexamethasonum#Dexamonozon#Dexapos#Dexinoral#Dexone#Dinormon#Dxevo#Fluoro-9alpha Methyl-16alpha Prednisolone#Fluorodelta#Fortecortin#Gammacorten#Hemady#Hexadecadrol#Hexadrol#Lokalison-F#Loverine#Methylfluorprednisolone#Millicorten#Mymethasone#Orgadrone#Spersadex#TaperDex#Visumetazone#ZoDex"	"clinical"	"NR3C1"	"C422"	"A synthetic adrenal corticosteroid with potent anti-inflammatory properties. In addition to binding to specific nuclear steroid receptors, dexamethasone also interferes with NF-kB activation and apoptotic pathways. This agent lacks the salt-retaining properties of other related adrenal hormones. (NCI04)"	"A01AC02#C05AA09#D07AB19#D07XB05#D10AA03#H02AB02#R01AD03#R03BA19#S01BA01#S01CB01"
"DRUG-000050"		"curated"	"Dexchlorpheniramine"	"Chlo-amine#D-Chlorpheniramine#d-Chlorpheniramine Maleate#Dexchlorpheniramine Maleate#Mylaramine#Polaramine"	"clinical"		"C61707"	"An alkylamine, and first-generation histamine antagonist with anti-allergic activity. Dexchlorpheniramine competitively blocks H1 receptors, thereby preventing the actions of histamine on bronchial smooth muscle, capillaries and gastrointestinal (GI) smooth muscle. The antagonistic action of this agent blocks the activities of endogenous histamine, thereby preventing histamine-induced bronchoconstriction, vasodilation, increased capillary permeability, and GI smooth muscle spasms."	
"DRUG-000824"		"curated"	"Dezapelisib"	"INCB040093"	"clinical"	"PIK3CD"	"C107686"	"An orally bioavailable, selective inhibitor of the delta isoform of the 110 kDa catalytic subunit of class I phosphoinositide-3 kinases (PI3K) with potential antineoplastic activity. Dezapelisib specifically inhibits PI3Kdelta, which prevents both the production of the second messenger phosphatidylinositol-3,4,5-trisphosphate (PIP3) and the activation of the PI3K/AKT kinase signaling pathway. This decreases proliferation and induces cell death in PI3K-overexpressing tumor cells. Unlike other isoforms of PI3K, PI3Kdelta is often overexpressed in tumor cells, especially those of hematologic origin, and plays a crucial role in tumor cell regulation and survival. The targeted inhibition of PI3Kdelta allows for PI3K signaling in normal, non-neoplastic cells."	
"DRUG-000051"		"curated"	"Diethylstilbestrol"	"Acnestrol#Antigestil#Apstil#Boestrol#Bufon#Cyren A#DES#Diastyl#Diethylstilbenediol#Diethylstilbestrolum#Diethylstilboestrol#Distilbene#Domestrol#Estrobene#Estromenin#Estrosyn#Fonatol#Grafestrol#Makarol#Microest#Milestrol#Neo-Oestronol I#Oestrogenine#Oestromenin#Oestromensyl#Oestromon#Palestrol#Serral#Sexocretin#Sibol#Stilbestrol#Stilbetin#Stilboefral#Stilboestroform#Stilboestrol#Stilkap#Synestrin#Synthoestrin#Vagestrol"	"clinical"		"C433"	"A synthetic, nonsteroidal form of estrogen. A well-known teratogen and carcinogen, diethylstilbestrol inhibits the hypothalamic-pituitary-gonadal axis, thereby blocking the testicular synthesis of testosterone, lowering plasma testosterone, and inducing a chemical castration."	"G03CB02#G03CC05#L02AA01"
"DRUG-000311"		"curated"	"Dinaciclib"	"CDK inhibitor SCH 727965#MK-7965#SCH 727965"	"clinical"	"CDK9#CDK1#CDK5#CDK2"	"C78854"	"A pyrazolo[1,5-a]pyrimidine with potential antineoplastic activity. Dinaciclib selectively inhibits cyclin dependent kinases CDK1, CDK2, CDK5, and CDK9; inhibition of CDK1 and CDK2 may result in cell cycle repression and tumor cell apoptosis."	
"DRUG-000312"		"curated"	"Dinutuximab"	"Ch 14.18UTC#Ch14.18#MOAB Ch14.18#monoclonal antibody Ch14.18#Unituxin"	"clinical"		"C1570"	"A chimeric mouse/human monoclonal antibody with potential antineoplastic activity. Dinutuximab binds to the ganglioside GD2 and induces antibody-dependent cell-mediated cytotoxicity and complement-dependent cytotoxicity against GD2-expressing tumor cells.  GD2 is overexpressed in malignant melanoma, neuroblastoma, osteosarcoma, and small cell carcinoma of the lung."	
"DRUG-000052"		"curated"	"Diphenhydramine"	"Benadryl#Bendylate#Diphenhydramine Citrate#Diphenhydramine hydrochloride#Diphenhydramine Methylbromide#Diphenhydramine.HCl#Eldadryl#FAR 90X2#MEFENIDRAMIUM BROMIDE#O-Benzhydryldimethylaminoethanol#PM 255#Probedryl#Rigidyl#S51#SK-Diphenhydramine#Syntedril"	"clinical"		"C61728"	"A first generation antihistamine and ethanolamine with sedative and anti-allergic properties. Diphenhydramine competitively inhibits the histamine-1 (H1) receptor, thereby alleviating the symptoms caused by endogenous histamine on bronchial, capillary and gastrointestinal smooth muscles. This prevents histamine-induced bronchoconstriction, vasodilation, increased capillary permeability, and GI smooth muscle spasms."	
"DRUG-000053"		"curated"	"Dipyridamole"	"DP#Persantine"	"clinical"		"C445"	"A synthetic agent derivative of pyrimido-pyrimidine, with antiplatelet properties.  Dipyridamole inhibits adenosine uptake by platelets and endothelial cells, triggering an accumulation of cyclic adenosine monophosphate (cAMP), and inhibiting the stimulation of platelet aggregation by agents such as platelet activating factor and collagen. (NCI04)"	
"DRUG-000313"		"curated"	"Docetaxel"	"Docecad#RP56976#Taxotere#Taxotere Injection Concentrate"	"clinical"	"BCL2#VEGFA"	"C1526"	"A semi-synthetic, second-generation taxane derived from a compound found in the European yew tree, Taxus baccata.  Docetaxel displays potent and broad antineoplastic properties; it binds to and stabilizes tubulin, thereby inhibiting microtubule disassembly which results in cell- cycle arrest at the G2/M phase and cell death.  This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and displays immunomodulatory and pro-inflammatory properties by inducing various mediators of the inflammatory response.  Docetaxel has been studied for use as a radiation-sensitizing agent. (NCI04)"	"L01CD02"
