"id"	"newId"	"status"	"name"	"synonyms"	"id@ncit"	"def@ncit"
"DRUG-001889"		"ok"	"Baricitinib"	"INCB 028050#INCB028050#LY 3009104#LY3009104#Olumiant"	"C127012"	"An orally bioavailable inhibitor of Janus kinases 1 and 2 (JAK1/2), with potential anti-inflammatory, immunomodulating and antineoplastic activities. Upon administration, baricitinib binds to JAK1/2, which inhibits JAK1/2 activation and leads to the inhibition of the JAK-signal transducers and activators of transcription (STAT) signaling pathway. This decreases the production of inflammatory cytokines and may prevent an inflammatory response. In addition, baricitinib may induce apoptosis and reduce proliferation of JAK1/2-expressing tumor cells. JAK kinases are intracellular enzymes involved in cytokine signaling, inflammation, immune function and hematopoiesis; they are also upregulated and/or mutated in various tumor cell types."
"DRUG-000266"		"ok"	"Bavituximab"	"Chimeric Anti-Phosphotidylserine Monoclonal Antibody#Tarvacin"	"C49088"	"A chimeric, IgG1 monoclonal antibody directed against anionic phospholipids with potential antineoplastic activity. Bavituximab binds to anionic phospholipids in a beta 2-glycoprotein I-dependent manner, inhibiting tumor growth by stimulating antibody-dependent cellular cytotoxicity (ADCC) to tumor vessels."
"DRUG-000199"		"ok"	"Belagenpumatucel-L"	"Lucanix"	"C73438"	"A transforming growth factor beta2 (TGF-beta2) antisense gene-modified allogeneic tumor cell vaccine with potential immunostimulatory and antineoplastic activities. Belagenpumatucel-L is prepared by transfecting allogeneic non-small cell lung cancer (NSCLC) cells with a plasmid containing a TGF-beta2 antisense transgene, expanding the cells, and then irradiating and freezing them. Upon administration, this agent may elicit a cytotoxic T lymphocyte (CTL) response against host NSCLC cells, resulting in decreased tumor cell proliferation; vaccine immunogenicity may be potentiated by suppression of tumor TGF-beta2 production by antisense RNA expressed by the vaccine plasmid TGF-beta2 antisense transgene. Elevated levels of TGF-beta2 are frequently linked to immunosuppression in cancer patients and may be inversely correlated with prognosis in patients with NSCLC."
"DRUG-000267"		"ok"	"Belinostat"	"Beleodaq#PXD 101#PXD101"	"C48812"	"A novel hydroxamic acid-type histone deacetylase (HDAC) inhibitor with antineoplastic activity. Belinostat targets HDAC enzymes, thereby inhibiting tumor cell proliferation, inducing apoptosis, promoting cellular differentiation, and inhibiting angiogenesis. This agent may sensitize drug-resistant tumor cells to other antineoplastic agents, possibly through a mechanism involving the down-regulation of thymidylate synthase."
"DRUG-000023"		"ok"	"Belotecan"	"belotecan hydrochloride#CKD-602#CKD602 HCl"	"C73305"	
"DRUG-002292"		"ok"	"Belzutifan"	"HIF-2alpha Inhibitor PT2977#MK-6482#MK 6482#MK6482#PT2977#Welireg"	"C135627"	"An orally active, small molecule inhibitor of hypoxia inducible factor (HIF)-2alpha (HIF-2a), with potential antineoplastic activity. Upon oral administration, belzutifan binds to and blocks the function of HIF-2alpha, thereby preventing HIF-2alpha heterodimerization and its subsequent binding to DNA. This results in decreased transcription and expression of HIF-2alpha downstream target genes, many of which regulate hypoxic signaling. This inhibits cell growth and survival of HIF-2alpha-expressing tumor cells. HIF-2alpha, the alpha subunit for the heterodimeric transcription factor HIF-2, is overexpressed in many cancers and promotes tumorigenesis."
"DRUG-001404"		"ok"	"Bemarituzumab"	"FPA144"	"C120040"	"A glycoengineered, humanized monoclonal antibody directed against the fibroblast growth factor receptor type 2b (FGFR2b), with potential antineoplastic activity. Upon administration, bemarituzumab specifically binds to and inhibits FGFR2b on tumor cell surfaces, which prevents FGFR2 from binding to its ligands, FGFR2b activation and the activation of FGFR2b-mediated signal transduction pathways. The binding of FPA144 to FGFR2b protein also induces antibody-dependent cell-mediated cytotoxicity (ADCC) against FGFR2b-expressing tumor cells. This results in the inhibition of cell proliferation and the induction of cell death of FGFR2-expressing tumor cells. FGFR2b, a specific isoform of the receptor tyrosine kinase FGFR2 upregulated in many tumor cell types, is essential to tumor proliferation, differentiation and survival. Glycoengineering enhances the FPA144-mediated ADCC."
"DRUG-001554"		"ok"	"Bemcentinib"	"AXL Inhibitor BGB324#BGB-324#BGB 324#BGB324#R-428#R428#WHO 10631"	"C121854"	"An orally available and selective inhibitor of the AXL receptor tyrosine kinase (UFO), with potential antineoplastic activity. Upon administration, bemcentinib targets and binds to the intracellular catalytic kinase domain of AXL and prevents its activity. This blocks AXL-mediated signal transduction pathways and inhibits the epithelial-mesenchymal transition (EMT), which, in turn, inhibits tumor cell proliferation and migration. In addition, bemcentinib enhances chemo-sensitivity. AXL, a member of the TAM (TYRO3, AXL and MER) family of receptor tyrosine kinases overexpressed by many tumor cell types, plays a key role in tumor cell proliferation, survival, invasion and metastasis; its expression is associated with drug resistance and poor prognosis."
"DRUG-000268"		"ok"	"Bendamustine"	"Belrapzo#Bendamustin Hydrochloride#bendamustine hydrochloride#Bendeka#Cytostasan Hydrochloride#Levact#Ribomustin#SDX-105#SyB L-0501#Treanda"	"C73261"	"A bifunctional mechlorethamine derivative with alkylating and antimetabolite activities. Although the exact mechanism of action of bendamustine is unknown, this agent appears to alkylate and crosslink macromolecules, resulting in DNA, RNA and protein synthesis inhibition, and eventually the induction of apoptosis."
"DRUG-000024"		"ok"	"Benralizumab"	"BIW-8405#KHK-4563#MEDI-563"	"C88594"	"An afucosylated, humanized monoclonal antibody against the alpha chain of the interleukin-5 receptor (IL-5Ra), with potential anti-asthmatic activity. Upon administration, benralizumab binds to IL-5Ra and elicits an antibody-directed cell cytotoxicity (ADCC) against IL-5Ra-expressing cells. This induces apoptosis in IL-5Ra-expressing cells and may reduce asthmatic episodes. IL-5Ra, expressed on both eosinophils and basophils, plays a key role in asthma."
"DRUG-001125"		"ok"	"Berzosertib"	"M 6620#M6620#VX-970#VX 970#VX970"	"C116355"	"An inhibitor of ataxia telangiectasia and rad3-related (ATR) kinase, a DNA damage response kinase, with potential antineoplastic activity. Upon administration, berzosertib selectively binds to and inhibits ATR kinase activity and prevents ATR-mediated signaling in the ATR-checkpoint kinase 1 (Chk1) signaling pathway. This prevents DNA damage checkpoint activation, disrupts DNA damage repair, and induces tumor cell apoptosis. ATR, a serine/threonine protein kinase upregulated in a variety of cancer cell types, plays a key role in DNA repair, cell cycle progression, and survival; it is activated by DNA damage caused during DNA replication-associated stress."
"DRUG-000025"		"ok"	"Betrixaban"	"Bevyxxa"	"C75154"	"An orally active inhibitor of coagulation factor Xa (activated factor X) with anticoagulant activity. Betrixaban is primarily excreted unchanged in the bile and has a half life of about 19 hours."
"DRUG-000269"		"ok"	"Bevacizumab"	"ABP 215|Anti-VEGF|Anti-VEGF Humanized Monoclonal Antibody|Anti-VEGF Monoclonal Antibody SIBP04|Anti-VEGF rhuMAb|Avastin|Bevacizumab-awwb|Bevacizumab-bvzr|Bevacizumab awwb|Bevacizumab Biosimilar ABP 215|Bevacizumab Biosimilar BEVZ92|Bevacizumab Biosimilar BI 695502|Bevacizumab Biosimilar CBT 124|Bevacizumab Biosimilar CT-P16|Bevacizumab Biosimilar FKB238|Bevacizumab Biosimilar GB-222|Bevacizumab Biosimilar HD204|Bevacizumab Biosimilar HLX04|Bevacizumab Biosimilar IBI305|Bevacizumab Biosimilar LY01008|Bevacizumab Biosimilar MIL60|Bevacizumab Biosimilar Mvasi|Bevacizumab Biosimilar MYL-1402O|Bevacizumab Biosimilar QL 1101|Bevacizumab Biosimilar RPH-001|Bevacizumab Biosimilar SCT501|Bevacizumab Biosimilar Zirabev|BP102|BP102 Biosimilar|HD204|Mvasi|MYL-1402O|Recombinant Humanized Anti-VEGF Monoclonal Antibody|rhuMab-VEGF|SCT501|SIBP-04|SIBP 04|SIBP04|Zirabev"	"C2039"	"A recombinant humanized monoclonal antibody directed against the vascular endothelial growth factor (VEGF), a pro-angiogenic cytokine.  Bevacizumab binds to VEGF and inhibits VEGF receptor binding, thereby preventing the growth and maintenance of tumor blood vessels."
"DRUG-000270"		"ok"	"Bexarotene"	"3-methyl TTNEB#LGD1069#Targretin"	"C1635"	"A synthetic retinoic acid agent with potential antineoplastic, chemopreventive, teratogenic and embryotoxic properties.  Bexarotene selectively binds to and activates retinoid X receptors (RXRs), thereby inducing changes in gene expression that lead to cell differentiation, decreased cell proliferation, apoptosis of some cancer cell types, and tumor regression. (NCI04)"
"DRUG-000271"		"ok"	"Bicalutamide"	"Casodex#Cosudex#ICI 176334"	"C1599"	"A synthetic, nonsteroidal antiandrogen.  Bicalutamide competitively binds to cytosolic androgen receptors in target tissues, thereby inhibiting the receptor binding of androgens. This agent does not bind to most mutated forms of androgen receptors. (NCI04)"
"DRUG-000272"		"ok"	"Binimetinib"	"ARRY-162#ARRY-438162#MEK162#Mektovi"	"C84865"	"An orally available inhibitor of mitogen-activated protein kinase kinase 1 and 2 (MEK1/2) with potential antineoplastic activity. Binimetinib, noncompetitive with ATP, binds to and inhibits the activity of MEK1/2. Inhibition of MEK1/2 prevents the activation of MEK1/2 dependent effector proteins and transcription factors, which may result in the inhibition of growth factor-mediated cell signaling. This may eventually lead to an inhibition of tumor cell proliferation and an inhibition in production of various inflammatory cytokines including interleukin-1, -6 and tumor necrosis factor. MEK1/2 are dual-specificity threonine/tyrosine kinases that play key roles in the activation of the RAS/RAF/MEK/ERK pathway and are often upregulated in a variety of tumor cell types."
"DRUG-000633"		"ok"	"Birabresib"	"BRD 2/3/4 Inhibitor OTX015#MK-8628#OTX015"	"C103298"	"A synthetic, small molecule inhibitor of the BET (Bromodomain and Extra-Terminal) family of bromodomain-containing proteins 2, 3 and 4 with potential antineoplastic activity. Upon administration, birabresib binds to the acetylated lysine recognition motifs on the bromodomain of BET proteins, thereby preventing the interaction between the BET proteins and acetylated histone peptides. This disrupts chromatin remodeling and gene expression. Prevention of the expression of certain growth-promoting genes, including c-Myc-dependent target genes, may lead to an inhibition of tumor cell growth. Characterized by a tandem repeat of bromodomain at the N-terminus, the BET proteins BRD2, BRD3, BRD4 are transcriptional regulators that play an important role in cellular growth."
"DRUG-000201"		"ok"	"Bivalent BRD4 Inhibitor AZD5153"	"AZD-5153#AZD 5153#AZD5153#BET Inhibitor AZD5153#Bivalent BET Bromodomain Inhibitor AZD5153#BRD4/BET Bromodomain Antagonist AZD5153"	"C151943"	"An orally bioavailable bivalent inhibitor of  bromodomain-containing protein 4 (BRD4), with potential antineoplastic activity. Upon oral administration, the BRD4 inhibitor AZD5153 selectively binds to the acetylated lysine recognition motifs in two bromodomains in the BRD4 protein, thereby preventing the binding of BRD4 to acetylated lysines on histones. This disrupts chromatin remodeling and dysregulates expression of target genes, which leads to the downregulation of the expression of certain growth-promoting genes, induces apoptosis and inhibits the proliferation of BRD4-overexpressing tumor cells. BRD4, a member of the human bromodomain and extra-terminal (BET) family of proteins, is a transcriptional regulator that is overexpressed in certain tumor cells and plays an important role in cellular proliferation."
"DRUG-000026"		"ok"	"Bivalirudin"	"Angiomax#Hirulog"	"C47415"	"A 20 amino acid long synthetic peptide with thrombin-specific anticoagulant properties. Bivalirudin reversibly binds thrombin, free as well as clot bound, at the catalytic site and the anion-binding exosite, thereby preventing the formation and activation of fibrin, factor XIIIa, and other coagulation factors. This drug is primarily used during coronary angioplasty procedures, in combination with aspirin, in patients with unstable angina."
"DRUG-000202"		"ok"	"Bleomycin"	"Blanoxan#BleMomycine#Blenoxane#Bleo#Bleo-cell#Bleo-S#Bleocin#Bleolem#Bleomycin Sulfas#bleomycin sulfate#Bleomycin Sulphate#Bleomycini Sulfas#Blexane#BLM#Oil Bleo"	"C313"	"A mixture of glycopeptide antineoplastic antibiotics isolated from the bacterium Streptomyces verticillus. Bleomycin forms complexes with iron that reduce molecular oxygen to superoxide and hydroxyl radicals which cause single- and double-stranded breaks in DNA; these reactive oxygen species also induce lipid peroxidation, carbohydrate oxidation, and alterations in prostaglandin synthesis and degradation."
"DRUG-000273"		"ok"	"Blinatumomab"	"Anti-CD19 x Anti-CD3 Bispecific Monoclonal Antibody#Anti-CD19/Anti-CD3 Recombinant Bispecific Monoclonal Antibody MT103#Blincyto#MEDI-538#MT-103"	"C62528"	"A recombinant, single-chain, anti-CD19/anti-CD3 bispecific monoclonal antibody with potential immunostimulating and antineoplastic activities. Blinatumomab possesses two antigen-recognition sites, one for the CD3 complex, a group of T cell surface glycoproteins that complex with the T cell receptor (TCR), and one for CD19, a tumor-associated antigen (TAA) overexpressed on the surface of B cells. This bispecific monoclonal antibody brings CD19-expressing tumor B-cells and cytotoxic T lymphocytes (CTLs) and helper T lymphocytes (HTLs) together, which may result in the CTL- and HTL-mediated cell death of CD19-expressing B-lymphocytes."
"DRUG-000274"		"ok"	"Bortezomib"	"LDP 341#MLN341#PS-341#PS341#velcade"	"C1851"	"A dipeptide boronic acid analogue with antineoplastic activity. Bortezomib reversibly inhibits the 26S proteasome, a large protease complex that degrades ubiquinated proteins. By blocking the targeted proteolysis normally performed by the proteasome, bortezomib disrupts various cell signaling pathways, leading to cell cycle arrest, apoptosis, and inhibition of angiogenesis. Specifically, the agent inhibits nuclear factor (NF)-kappaB, a protein that is constitutively activated in some cancers, thereby interfering with NF-kappaB-mediated cell survival, tumor growth, and angiogenesis. In vivo, bortezomib delays tumor growth and enhances the cytotoxic effects of radiation and chemotherapy."
"DRUG-000275"		"ok"	"Bosutinib"	"4-Anilino-3-quinolinecarbonitrile#Bosulif#SKI-606#SKI 606"	"C60809"	"A synthetic quinolone derivative and dual kinase inhibitor that targets both Abl and Src kinases with potential antineoplastic activity. Unlike imatinib, bosutinib inhibits the autophosphorylation of both Abl and Src kinases, resulting in inhibition of cell growth and apoptosis. Because of the dual mechanism of action, this agent may have activity in resistant CML disease, other myeloid malignancies and solid tumors. Abl kinase is upregulated in the presence of the abnormal Bcr-abl fusion protein which is commonly associated with chronic myeloid leukemia (CML). Overexpression of specific Src kinases is also associated with the imatinib-resistant CML phenotype."
"DRUG-000276"		"ok"	"Brentuximab Vedotin"	"ADC SGN-35#Adcetris#Anti-CD30 Antibody-Drug Conjugate SGN-35#Anti-CD30 Monoclonal Antibody-MMAE SGN-35#Anti-CD30 Monoclonal Antibody-Monomethylauristatin E SGN-35#cAC10-vcMMAE#SGN-35"	"C66944"	"An antibody-drug conjugate (ADC) directed against the tumor necrosis factor (TNF) receptor CD30 with potential antineoplastic activity. Brentuximab vedotin is generated by conjugating the chimeric anti-CD30 monoclonal antibody SGN-30 to the cytotoxic agent monomethyl auristatin E (MMAE) via a valine-citrulline peptide linker. Upon administration and internalization by CD30-positive tumor cells, brentuximab vedotin undergoes enzymatic cleavage, releasing MMAE into the cytosol; MMAE binds to tubulin and inhibits tubulin polymerization, which may result in G2/M phase arrest and tumor cell apoptosis. Transiently activated during lymphocyte activation, CD30 (tumor necrosis factor receptor superfamily, member 8;TNFRSF8) may be constitutively expressed in hematologic malignancies including Hodgkin lymphoma and some T-cell non-Hodgkin lymphomas. The linkage system in brentuximab vedotin is highly stable in plasma, resulting in cytotoxic specificity for CD30-positive cells."
"DRUG-000277"		"ok"	"Brigatinib"	"Alunbrig#AP-26113#AP 26113#AP26113"	"C98831"	"An orally available inhibitor of receptor tyrosine kinases anaplastic lymphoma kinase (ALK) and the epidermal growth factor receptor (EGFR) with potential antineoplastic activity. Brigatinib binds to and inhibits ALK kinase and ALK fusion proteins as well as EGFR and mutant forms. This leads to the inhibition of ALK kinase and EGFR kinase, disrupts their signaling pathways and eventually inhibits tumor cell growth in susceptible tumor cells. In addition, AP26113 appears to overcome mutation-based resistance. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development; ALK dysregulation and gene rearrangements are associated with a series of tumors. EGFR is overexpressed in a variety of cancer cell types."
"DRUG-000627"		"ok"	"Brontictuzumab"	"OMP-52M51"	"C103274"	"A humanized monoclonal antibody directed against the Notch-1 receptor with potential antineoplastic activity. Upon administration, brontictuzumab binds to Notch-1 on the cell surface, thereby inhibiting Notch-mediated signaling and tumor cell proliferation. Notch 1, a type 1 transmembrane protein belonging to the Notch family, functions as a receptor for membrane bound ligands and has various roles during development; dysregulated Notch signaling is associated with increased cell growth and chemoresistance in cancers."
"DRUG-000278"		"ok"	"Buparlisib"	"AN2025#BKM120#PI3K Inhibitor BKM120"	"C90565"	"An orally bioavailable specific oral inhibitor of the pan-class I phosphatidylinositol 3-kinase (PI3K) family of lipid kinases with potential antineoplastic activity. Buparlisib specifically inhibits class I PI3K in the PI3K/AKT kinase (or protein kinase B) signaling pathway in an ATP-competitive manner, thereby inhibiting the production of the secondary messenger phosphatidylinositol-3,4,5-trisphosphate and activation of the PI3K signaling pathway. This may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-000279"		"ok"	"Busulfan"	"BUS#Bussulfam#Busulfanum#Busulfex#Busulphan#CB-2041#CB 2041#Glyzophrol#GT-41#GT 41#Joacamine#Methanesulfonic Acid Tetramethylene Ester#Mielucin#Misulban#Misulfan#Mitosan#Myeleukon#Myeloleukon#Myelosan#Mylecytan#Myleran#Sulfabutin#WR-19508"	"C321"	"A synthetic derivative of dimethane-sulfonate with antineoplastic and cytotoxic properties.  Although its mechanism of action is not fully understood, busulfan appears to act through the alkylation of DNA.  Following systemic absorption of busulfan, carbonium ions are formed, resulting in DNA alkylation and DNA breaks and inhibition of DNA replication and RNA transcription. (NCI04)"
"DRUG-007564"		"ok"	"CBP/p300 Bromodomain Inhibitor FT-7051"	"FT-7051#FT 7051#FT7051#p300/CBP Bromodomain Inhibitor FT-7051"	"C178370"	"An orally bioavailable inhibitor of the bromodomain of the histone acetyltransferase (HAT) paralogs, CREB binding protein (CBP) and p300 (E1A-associated protein p300; p300 HAT), with potential antineoplastic activity. Upon oral administration, CBP/p300 bromodomain inhibitor FT-7051 targets and binds to the bromodomain of CBP and p300. This disrupts the acetylation of histones and other proteins and prevents the co-activation of the androgen receptor (AR) including AR-v7. This may inhibit tumor cell proliferation in AR-positive tumor cells. The HAT paralogs CBP and p300 are key transcriptional co-activators that are essential for a multitude of cellular processes and are implicated in the progression and therapeutic resistance of certain cancers."
"DRUG-006422"		"ok"	"CSF1R Inhibitor ABSK021"	"ABSK-021#ABSK 021#ABSK021#CSF-1R Inhibitor ABSK021"	"C173651"	"An orally bioavailable inhibitor of colony stimulating factor 1 receptor (CSF1R; CSF-1R; CD115; M-CSFR), with potential immunomodulatory and antineoplastic activities. Upon administration, CSF1R inhibitor ABSK021 targets and binds to CSF1R, thereby blocking CSF1R activation and CSF1R-mediated signaling. This inhibits the activities of tumor-associated macrophages (TAMs) and myeloid-derived suppressor cells (MDSCs), and prevents immune suppression in the tumor microenvironment (TME). This enhances antitumor T-cell immune responses and inhibits the proliferation of tumor cells. CSF1R, also known as macrophage colony-stimulating factor receptor (M-CSFR) and CD115 (cluster of differentiation 115), is a cell-surface receptor that plays major roles in tumor cell proliferation and metastasis."
"DRUG-000280"		"ok"	"Cabazitaxel"	"Jevtana#RPR-116258A#taxoid XRP6258#XRP-6258"	"C66937"	"A semi-synthetic derivative of the natural taxoid 10-deacetylbaccatin III with potential antineoplastic activity. Cabazitaxel binds to and stabilizes tubulin, resulting in the inhibition of microtubule depolymerization and cell division, cell cycle arrest in the G2/M phase, and the inhibition of tumor cell proliferation. Unlike other taxane compounds, this agent is a poor substrate for the membrane-associated, multidrug resistance (MDR), P-glycoprotein (P-gp) efflux pump and may be useful for treating multidrug-resistant tumors. In addition, cabazitaxel penetrates the blood-brain barrier (BBB)."
"DRUG-000281"		"ok"	"Cabozantinib"	"BMS-907351#Cabometyx#Cabozantinib S-malate#Cometriq#N-#XL-184#XL184"	"C52200"	"An orally bioavailable, small molecule receptor tyrosine kinase (RTK) inhibitor with potential antineoplastic activity. Cabozantinib strongly binds to and inhibits several RTKs, which are often overexpressed in a variety of cancer cell types, including hepatocyte growth factor receptor (MET), RET (rearranged during transfection), vascular endothelial growth factor receptor types 1 (VEGFR-1), 2 (VEGFR-2), and 3 (VEGFR-3), mast/stem cell growth factor (KIT), FMS-like tyrosine kinase 3 (FLT-3), TIE-2 (TEK tyrosine kinase, endothelial), tropomyosin-related kinase B (TRKB) and AXL. This may result in an inhibition of both tumor growth and angiogenesis, and eventually lead to tumor regression."
"DRUG-014982"		"ok"	"Camsirubicin"	"5-Imino-13-deoxydoxoubicin#GPX-150#GPX150"	"C78863"	"A synthetic non-cardiotoxic analogue of the anthracycline antibiotic doxorubicin with potential antineoplastic activity. Camsirubicin intercalates DNA and impedes the activity of topoisomerase II, inducing single and double-stranded breaks in DNA; inhibiting DNA replication and/or repair, transcription, and protein synthesis; and activating tumor cell apoptosis."
"DRUG-000027"		"ok"	"Cangrelor"	"AR-C69931MX#Cangrelor Tetrasodium"	"C76395"	
"DRUG-000282"		"ok"	"Capecitabine"	"Ro 09-1978/000#Xeloda"	"C1794"	"A fluoropyrimidine carbamate belonging to the class of antineoplastic agents called antimetabolites.  As a prodrug, capecitabine is selectively activated by tumor cells to its cytotoxic moiety, 5-fluorouracil (5-FU); subsequently, 5-FU is metabolized to two active metabolites, 5-fluoro-2-deoxyuridine monophosphate (FdUMP) and 5-fluorouridine triphosphate (FUTP) by both tumor cells and normal cells.  FdUMP inhibits DNA synthesis and cell division by reducing normal thymidine production, while FUTP inhibits RNA and protein synthesis by competing with uridine triphosphate for incorporation into the RNA strand. (NCI04)"
"DRUG-000283"		"ok"	"Capivasertib"	"AZD5363"	"C102564"	"A novel pyrrolopyrimidine derivative, and an orally available inhibitor of the serine/threonine protein kinase AKT (protein kinase B) with potential antineoplastic activity. Capivasertib binds to and inhibits all AKT isoforms. Inhibition of AKT prevents the phosphorylation of AKT substrates that mediate cellular processes, such as cell division, apoptosis, and glucose and fatty acid metabolism. A wide range of solid and hematological malignancies show dysregulated PI3K/AKT/mTOR signaling due to mutations in multiple signaling components. By targeting AKT, the key node in the PIK3/AKT signaling network, this agent may be used as monotherapy or combination therapy for a variety of human cancers."
"DRUG-000028"		"ok"	"Caplacizumab"	"ALX-0081#ALX-0681#ALX 0081#ALX 0681#ALX0081#ALX0681#Cablivi#Caplacizumab-yhdp"	"C128625"	"A humanized, bivalent anti-von Willebrand factor (VWF) nanobody, with potential anti-platelet and anti-thrombotic activities. Upon administration, caplacizumab specifically binds, with its two identical monovalent moieties, to the A1 domain of the adhesive glycoprotein VWF, thereby inhibiting and neutralizing VWF activity. This prevents the interaction of ultra-large VWF (ULVWF) with the platelet glycoprotein (GP)Ib-IX-V receptor complex, and prevents ULVWF-mediated platelet adhesion, and aggregation, which reduces thrombus formation. VWF is a glycoprotein and plays a key role in blood coagulation. Increased VWF, which is seen in a number of diseases, is associated with an increased risk in thrombosis; in thrombotic thrombocytopenic purpura (TTP), increased levels of ULVWF and thus increased and abnormal platelet aggregation are seen due to impaired breakdown of ULVWF. The nanobody formulation allows for rapid distribution, onset of action and clearance. The nanobody is based on the smallest functional fragments of the immunoglobulin heavy-chain variable domains that occur naturally in the Camelidae family."
"DRUG-000284"		"ok"	"Capmatinib"	"Capmatinib Hydrochloride#INC-280#INC280#INCB 28060#INCB028060#INCB28060#NVP-INC280-AAA#Tabrecta"	"C90564"	"An orally bioavailable inhibitor of the proto-oncogene c-Met (also known as hepatocyte growth factor receptor (HGFR)) with potential antineoplastic activity. Capmatinib selectively binds to c-Met, thereby inhibiting c-Met phosphorylation and disrupting c-Met signal transduction pathways. This may induce cell death in tumor cells overexpressing c-Met protein or expressing constitutively activated c-Met protein. c-Met, a receptor tyrosine kinase overexpressed or mutated in many tumor cell types, plays key roles in tumor cell proliferation, survival, invasion, metastasis, and tumor angiogenesis."
"DRUG-000285"		"ok"	"Carboplatin"	"Blastocarb#Carboplat#Carboplatin Hexal#Carboplatino#Carboplatinum#Carbosin#Carbosol#Carbotec#CBDCA#Displata#Ercar#JM-8#Nealorin#Novoplatinum#Paraplat#Paraplatin#Paraplatin AQ#Paraplatine#Platinwas#Ribocarbo"	"C1282"	"A second-generation platinum compound with a broad spectrum of antineoplastic properties.  Carboplatin contains a platinum atom complexed with two ammonia groups and a cyclobutane-dicarboxyl residue.  This agent is activated intracellularly to form reactive platinum complexes that bind to nucleophilic groups such as GC-rich sites in DNA, thereby inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links.  These carboplatin-induced DNA and protein effects result in apoptosis and cell growth inhibition.  This agent possesses tumoricidal activity similar to that of its parent compound, cisplatin, but is more stable and less toxic. (NCI04)"
"DRUG-000286"		"ok"	"Carfilzomib"	"Kyprolis#PR-171"	"C52196"	"An epoxomicin derivate with potential antineoplastic activity. Carfilzomib irreversibly binds to and inhibits the chymotrypsin-like activity of the 20S catalytic core subunit of the proteasome, a protease complex responsible for degrading a large variety of cellular proteins. Inhibition of proteasome-mediated proteolysis results in an accumulation of polyubiquinated proteins, which may lead to cell cycle arrest, induction of apoptosis, and inhibition of tumor growth."
"DRUG-000287"		"ok"	"Carmustine"	"BCNU#Becenum#Becenun#BiCNU#Bis-Chloronitrosourea#Carmubris#Carmustin#Carmustinum#FDA 0345#Nitrourean#Nitrumon#SK 27702#SRI 1720#WR-139021"	"C349"	"An antineoplastic nitrosourea. Carmustine alkylates and cross-links DNA during all phases of the cell cycle, resulting in disruption of DNA function, cell cycle arrest, and apoptosis.  This agent also carbamoylates proteins, including DNA repair enzymes, resulting in an enhanced cytotoxic effect.  Carmustine is highly lipophilic and crosses the blood-brain barrier readily. (NCI04)"
"DRUG-000029"		"ok"	"Caspofungin"	"Cancidas#caspofungin acetate"	"C28910"	"An antimycotic echinocandin lipopeptide, semisynthetically derived from a fermentation product of the fungus Glarea lozoyensis. Caspofungin inhibits 1,3-beta-glucan synthase, resulting in decreased synthesis of beta(1,3)-D-glucan (an essential component of the fungal cell wall), weakening of the fungal cell wall, and fungal cell wall rupture. This agent is active against Aspergillus and Candida species."
"DRUG-000030"		"ok"	"Catumaxomab"	"Removab"	"C62445"	"A trifunctional bispecific monoclonal antibody with potential antineoplastic activity. Catumaxomab has two antigen-recognition sites: one for human CD3, a T cell surface antigen; and one for human epithelial cell adhesion molecule (EpCAM), a cell surface antigen expressed by a variety of epithelial tumor cells. In addition, the modified Fc portion of this antibody binds Fc receptors on antigen presenting cells (APCs) such as macrophages and dendritic cells (DCs). Catumaxomab brings T cells, EpCAM-expressing epithelial tumor cells and APCs together into tricellular complexes, which may result in a potent cytotoxic T-lymphocyte (CTL) response against EpCAM-expressing epithelial tumor cells. Fc-mediated binding of APCs in the tricellular complex potentiates EpCAM antigen presentation to T cells and the activation of anti-tumor cytotoxic T cell functions."
"DRUG-000288"		"ok"	"Cediranib"	"AZD2171#AZD2171 Maleate#cediranib maleate#Recentin"	"C80867"	
"DRUG-000289"		"ok"	"Cemiplimab"	"Cemiplimab-rwlc#Cemiplimab RWLC#Libtayo#REGN2810"	"C121540"	"A human monoclonal antibody directed against the negative immunoregulatory human cell surface receptor programmed cell death 1 (PD-1, PCD-1) protein, with potential immune checkpoint inhibitory and antineoplastic activity. Upon administration, cemiplimab binds to PD-1, inhibits its binding to the PD-1 ligand programmed cell death-1 ligand 1 (PD-L1), and prevents the activation of its downstream signaling pathways. This may restore immune function through the activation of cytotoxic T-cells. PD-1, a transmembrane protein in the immunoglobulin superfamily expressed on activated T-cells, negatively regulates T-cell activation and effector function when activated by its ligand; it plays an important role in tumor evasion from host immunity."
"DRUG-010760"		"ok"	"Cenisertib"	"AS703569#Aurora Kinase Inhibitor AS703569#R763"	"C64540"	"A water-soluble, synthetic small molecule with potential antineoplastic activity. Cenisertib selectively binds to and inhibits aurora kinases (AKs), a family of serine-threonine kinases which are important regulators of cell division and proliferation, and which are overexpressed in certain types of cancer. Inhibition of aurora kinases inhibits cell division and proliferation and induces apoptosis in tumor cells overexpressing AKs."
